id;name;energy,calculated (kJ);carbohydrate, available (g);fat, total (g);protein, total (g);alcohol (g);fibre, total (g);organic acids, total (g);sugar alcohols (g);starch, total (g);sugars, total (g);fructose (g);galactose (g);glucose (g);lactose (g);maltose (g);sucrose (g);polysaccharides, non-cellulosic, water-soluble (g);fibre, water-insoluble (g);fatty acids, total (g);fatty acids, total polyunsaturated (g);fatty acids, total monounsaturated cis (g);fatty acids, total saturated (g);fatty acids, total trans (g);fatty acids, total n-3 polyunsaturated (g);fatty acids, total n-6 polyunsaturated (g);fatty acid 18:2 cis,cis n-6 (linoleic acid) (mg);fatty acid 18:3 n-3 (alpha-linolenic acid) (mg);fatty acid 20:5 n-3 (EPA) (mg);fatty acid 22:6 n-3 (DHA) (mg);cholesterol (GC) (mg);sterols, total (mg);calcium (mg);iron, total (mg);iodide (iodine) (µg);potassium (mg);magnesium (mg);sodium (mg);salt (mg);phosphorus (mg);selenium, total (µg);zinc (mg);tryptophan (mg);folate, total (µg);niacin equivalents, total (mg);niacin, preformed (nicotinic acid + nicotinamide) (mg);vitamers pyridoxine (hydrochloride) (mg);riboflavine (mg);thiamin (vitamin B1) (mg);vitamin B-12 (cobalamin) (µg);vitamin C (ascorbic acid) (mg);vitamin A  retinol activity equivalents (µg);carotenoids, total (µg);vitamin D (µg);vitamin E  alphatocopherol (mg);vitamin K, total (µg)
11005;4-Grain Flakes;1380;58.8;3.4;10.1;0;11.5;0;0;57.5;1.3;0.2;0;0.1;0;0.2;0.8;1.3;7.9;2.7;1.3;0.9;0.5;0;<0.1;1.2;1243;83;0;0;0;68.2;30.0;4.1;20.0;396.0;109.0;5.0;12.7;327.8;8.8;2.9;150.0;46.8;5.2;2.7;0.33;0.10;0.24;0;0;0.2;195.8;0;0.4;3.20
32570;4-Grain Flakes, Riihikosken Vehnämylly;1432;59.0;4.1;10.9;0;11.2;0;0;57.7;1.3;0.1;0;0.1;0;0.2;0.8;1.3;7.2;3.5;1.6;1.2;0.7;0;<0.1;1.5;1518;84;0;0;0;62.7;33.4;4.2;20.0;399.6;115.6;3.2;8.2;356.4;9.4;3.0;162.0;46.6;5.0;2.3;0.20;0.08;0.24;0;0;0.2;192.0;0;0.7;2.98
379;Almond;2517;6.6;51.2;24.1;0;12.5;N/A;0;0;6.6;0.5;N/A;0.3;0;0;5.8;0.3;6.9;49.0;12.2;32.7;4.1;0;0.3;11.9;11932;270;0;0;0;138.5;276.0;5.2;5.0;740.0;278.0;1.0;2.5;490.0;4.0;3.3;170.0;48.0;6.8;4.0;0.06;0.70;0.25;0;0.5;0.2;4.0;0;26.4;0.30
34844;Almond Drink, Sweetened, Alrpo;100;3.0;1.0;0.5;0;0.2;0;0;0;3.0;<0.1;0;<0.1;0;0;3.0;<0.1;0.1;1.0;0.2;0.7;<0.1;0;<0.1;0.2;239;5;0;0;0;2.8;120.0;0.1;0.3;14.9;5.6;49.9;127.0;9.8;0.1;<0.1;3.4;1.0;0.1;<0.1;<0.01;0.21;<0.01;0.4;<0.1;<0.1;<0.1;0.8;1.8;<0.01
34738;Almond Drink, Unsweetened, Alrpo;50;0.1;1.0;0.5;0;0.2;0;0;0;0.1;<0.1;0;<0.1;0;0;0.1;<0.1;0.1;1.0;0.2;0.7;<0.1;0;<0.1;0.2;239;5;0;0;0;2.8;120.0;0.1;0.2;14.9;5.6;49.9;127.1;9.8;0.1;<0.1;3.4;1.0;0.1;<0.1;<0.01;0.21;<0.01;0.4;<0.1;<0.1;<0.1;0.8;1.8;<0.01
829;Anchovy;1076;9.6;11.4;28.9;0;0;N/A;N/A;0;9.6;0;N/A;0;0;0;9.6;0;0;10.2;3.0;4.2;3.0;0;2.7;0.2;175;146;768;1498;66.7;0;90.0;2.1;45.0;190.0;13.0;4140.0;10548.7;100.0;68.0;1.8;324.0;16.0;7.6;2.2;0.18;0.20;0.02;11.0;0;14.9;0;5.7;1.0;1.35
28916;Apple, Average, With Skin;135;6.6;<0.1;0.1;0;1.5;0.4;0;<0.1;6.6;3.5;0;1.0;0;0;2.1;0.6;1.0;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;23;6;0;0;0;15.9;3.5;<0.1;0.9;90.5;3.7;0.8;2.0;7.8;<0.1;<0.1;3.9;2.5;0.2;<0.1;0.05;0.01;0.01;0;7.8;2.5;74.6;0;0.2;4.35
28941;Apple, Domestic, Average, With Skin;149;7.1;<0.1;0.2;0;2.0;0.5;0;0;7.1;3.8;0;0.9;0;0;2.4;0.8;1.2;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;33;9;0;0;0;18.3;4.3;<0.1;1.0;94.0;3.9;0.8;2.0;7.8;<0.1;<0.1;5.2;2.5;0.2;<0.1;0.05;0.01;0.01;0;12.0;1.2;61.6;0;0.2;5.00
11060;Apple, Domestic, Without Skin;170;8.3;0.1;0.2;0;1.8;0.5;0;0.1;8.2;4.4;0;1.0;0;0;2.8;0.7;1.1;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;38;10;0;0;0;18.3;5.0;0.1;1.1;108.0;4.5;0.9;2.3;9.0;<0.1;<0.1;6.0;2.9;0.2;0.1;0.06;0.01;0.02;0;8.0;1.4;70.8;0;0.2;2.00
401;Apple, Dried;1149;60.2;0.3;0.9;0;8.7;2.3;0;0;60.2;31.7;0;8.6;0;0;19.9;4.7;5.6;0.2;0.2;<0.1;<0.1;0;<0.1;0.1;127;32;0;0;0;86.5;38.0;1.1;0;750.0;32.0;6.1;15.5;54.0;0.2;0.2;12.0;0;0.8;0.6;0.18;0.16;0;0;3.9;1.0;196.9;0;0.5;23.62
